letter_file,person,revision_status,kollationiert_2025,grundkommentiert_2025,tagging_2025,other_2025
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1740-11-04_991170516488005501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-07-09_991170430341605501.xml,MK,kollationiert,1,0,0,0
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-07-09_991170430341605501.xml,RG,kollationiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-08-11_991170430341205501.xml,RG,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1742-11-24_991170430341105501.xml,RG,transkribiert,0,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-07-21_991170430341505501.xml,MK,kollationiert,1,0,0,1
BW_JohIIB/korr_Cramer_Gabriel-JohIIB/B_1741-07-21_991170430341505501.xml,RG,kollationiert,1,0,0,0
BW_JohIB/korr_Poleni_Giovanni-JohIB/B_1725-11-25_NEU.xml,SG,transkribiert,0,0,0,1
BW_JohIB/korr_Poleni_Giovanni-JohIB/B_1725-11-25_NEU.xml,JB,transkribiert,0,0,0,1
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1719-02-18_991170514607705501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1719-02-18_991170514607705501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-05-20_991170514608005501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-05-20_991170514608005501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-04-09_991170514608105501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-04-09_991170514608105501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1719-07-05_991170514607505501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1719-07-05_991170514607505501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-11-02_991170514607805501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-11-02_991170514607805501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-11-02_991170514607805501.xml,FN,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-02-12_991170514608205501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-02-12_991170514608205501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1719-04-11_991170514607605501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1719-04-11_991170514607605501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-07-30_991170514607905501.xml,SG,kollationiert,1,0,0,0
BW_JohIB/korr_Bernoulli_Nicolaus_I-JohIB/B_1718-07-30_991170514607905501.xml,CG,kollationiert,1,0,0,0
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1716-12-13_991170515086305501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1715-02-01_991170515084905501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1721-07-13_991170515080505501.xml,RG,kollationiert,0,0,1,0
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1723-05-02_991170515279505501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1707-10-16_991170514988805501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1715-07-03_991170515093005501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1722-06-14_991170515079905501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1718-08-21_991170515084305501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1712-08-20_991170515086405501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1720-05-29_991170430251605501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1716-11-22_991170515086505501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Scheuchzer_Johannes-JohIB/B_1718-09-14_991170430253905501.xml,RG,kollationiert,0,0,0,1
BW_JohIB/korr_Gessner_Johannes-JohIB/B_1737-04-02_991170430113605501.xml,RG,kollationiert,0,0,1,1
BW_JohIB/korr_Gessner_Johannes-JohIB/B_1736-11-03_991170514858205501.xml,RG,kollationiert,0,0,1,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1730-04-15_991170514977905501.xml,MK,grundkommentiert,1,1,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1730-04-15_991170514977905501.xml,SG,grundkommentiert,0,0,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1730-04-15_991170514977905501.xml,RG,grundkommentiert,1,0,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1729-08-03_991170514978205501.xml,MK,grundkommentiert,1,1,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1729-08-03_991170514978205501.xml,SG,grundkommentiert,0,0,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1729-08-03_991170514978205501.xml,RG,grundkommentiert,1,0,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1730-04-07_991170430088905501.xml,MK,grundkommentiert,1,0,0,1
BW_JohIB/korr_Cramer_Gabriel-JohIB/B_1733-10-28_991170514977005501.xml,MK,kollationiert,1,1,0,1
